"filename", "language", "JavaScript", "Rust", "YAML", "JavaScript JSX", "JSON", "Ignore", "PostCSS", "Diff", "XML", "HTML", "comment", "blank", "total"
"h:\tools\cyclemetry\app\src\components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 29, 10, 91
"h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 10, 26, 132
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 55
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-course.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-elevation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-gradient.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-label.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-speed.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-temperature.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-time.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\features\app-shell\components\ActionButtons.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 18, 3, 76
"h:\tools\cyclemetry\app\src\features\app-shell\components\ActivitySection.jsx", "JavaScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 17, 6, 80
"h:\tools\cyclemetry\app\src\features\app-shell\components\AppHeader.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 16, 7, 96
"h:\tools\cyclemetry\app\src\features\app-shell\components\ControlPanel.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 11, 5, 48
"h:\tools\cyclemetry\app\src\features\app-shell\components\EditorToolbar.jsx", "JavaScript JSX", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 22, 5, 153
"h:\tools\cyclemetry\app\src\features\app-shell\components\ErrorAlert.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 6, 43
"h:\tools\cyclemetry\app\src\features\app-shell\components\LoadingOverlay.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 18, 4, 47
"h:\tools\cyclemetry\app\src\features\app-shell\components\TemplateSection.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 19, 5, 105
"h:\tools\cyclemetry\app\src\features\app-shell\components\TitleBar.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 2, 16
"h:\tools\cyclemetry\app\src\features\app-shell\components\WindowControls.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 6, 67
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useActivityImport.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 56
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useAppBootstrap.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 52
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useBackendStatus.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 94
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useEditorShellState.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 11, 124
"h:\tools\cyclemetry\app\src\features\app-shell\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 16
"h:\tools\cyclemetry\app\src\features\app-shell\utils\backendDebug.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 13, 68
"h:\tools\cyclemetry\app\src\features\app-shell\utils\templateGroups.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 71
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayCanvas.jsx", "JavaScript JSX", 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 19, 25, 339
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayEditor.jsx", "JavaScript JSX", 0, 0, 0, 407, 0, 0, 0, 0, 0, 0, 16, 33, 456
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayMoveable.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 24, 11, 129
"h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConfig.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 36
"h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConstants.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 48
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useDragHandlers.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 197
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorKeyboard.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 85
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorViewport.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 121
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useOverlayEditorState.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 169
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useResizeHandlers.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 105
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useRotateHandlers.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 81
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useScaleHandlers.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 157
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useWidgetDraftState.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 96
"h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useWidgetSelection.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 90
"h:\tools\cyclemetry\app\src\features\overlay-editor\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 33
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\createOverlayPointerHandlers.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 40, 289
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\exportRange.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 44, 324
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorHelpers.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 10, 108
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorUtils.js", "JavaScript", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 56, 334
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\widgetDomHelpers.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 20, 150
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\widgetRenderGeometry.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"h:\tools\cyclemetry\app\src\features\overlay-editor\utils\widgetResizeScaling.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 32, 215
"h:\tools\cyclemetry\app\src\features\player\components\OverlayPlayer.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 5, 28
"h:\tools\cyclemetry\app\src\features\player\components\PlayerToolbar.jsx", "JavaScript JSX", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 5, 4, 169
"h:\tools\cyclemetry\app\src\features\player\components\TimelineLane.jsx", "JavaScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 2, 60
"h:\tools\cyclemetry\app\src\features\player\components\TimelineSurface.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 5, 5, 78
"h:\tools\cyclemetry\app\src\features\player\hooks\useExportRangeTimeline.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24, 178
"h:\tools\cyclemetry\app\src\features\player\hooks\useOverlayPlayer.js", "JavaScript", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 23, 280
"h:\tools\cyclemetry\app\src\features\player\hooks\usePlaybackEngine.js", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 23, 294
"h:\tools\cyclemetry\app\src\features\player\hooks\useTimelineClips.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 14, 178
"h:\tools\cyclemetry\app\src\features\player\hooks\useTimelineGestures.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 18, 226
